,h,A
376,-21.55604233541567,
377,-21.377259816298146,
378,-21.198477297180624,
379,-21.0196947780631,
380,-20.84091225894558,
381,-20.662129739828057,
382,-20.483347220710534,
383,-20.304564701593012,
384,-20.12578218247549,
0, -20, 0
385,-19.946999663357968,2.3903338238933056
386,-19.76821714424045,4.9938561904607734
387,-19.589434625122927,6.639931154333578
388,-19.410652106005404,7.947604070587738
389,-19.231869586887882,9.064558786049716
390,-19.05308706777036,10.054580062008599
391,-18.874304548652837,10.95216494176419
392,-18.695522029535315,11.77848358857553
393,-18.516739510417793,12.54764089088064
394,-18.33795699130027,13.269596723223568
395,-18.159174472182748,13.951695914506532
396,-17.98039195306523,14.599540419852689
397,-17.801609433947707,15.217519557099779
398,-17.622826914830185,15.809149171762527
399,-17.444044395712663,16.377297715428018
400,-17.26526187659514,16.92434218016143
401,-17.086479357477618,17.45227879289234
402,-16.907696838360096,17.962803551886978
403,-16.728914319242573,18.457372081525556
404,-16.55013180012505,18.93724495094105
405,-16.37134928100753,19.403522553429603
406,-16.19256676189001,19.857172344752314
407,-16.013784242772488,20.299050392835415
408,-15.835001723654965,20.72991862763194
409,-15.656219204537443,21.150458796060516
410,-15.47743668541992,21.561283860550713
411,-15.298654166302398,21.962947391657007
412,-15.119871647184876,22.355951370328842
413,-14.941089128067356,22.74075271731015
414,-14.762306608949833,23.11776879482766
415,-14.583524089832311,23.487382071781337
416,-14.404741570714789,23.849944102958414
417,-14.225959051597266,24.205778941778576
418,-14.047176532479746,24.555186082213837
419,-13.868394013362224,24.898443006999138
420,-13.689611494244701,25.235807404745085
421,-13.510828975127179,25.56751910712007
422,-13.332046456009657,25.893801788173842
423,-13.153263936892136,26.214864460594818
424,-12.974481417774614,26.53090279783163
425,-12.795698898657092,26.842100306257652
426,-12.61691637953957,27.148629367683615
427,-12.438133860422047,27.45065216935136
428,-12.259351341304527,27.748321535925577
429,-12.080568822187004,28.041781675836326
430,-11.901786303069482,28.33116885252505
431,-11.72300378395196,28.61661198964201
432,-11.544221264834437,28.89823321798212
433,-11.365438745716917,29.17614837088199
434,-11.186656226599395,29.450467433903167
435,-11.007873707481872,29.721294953862877
436,-10.82909118836435,29.988730411624044
437,-10.650308669246828,30.252868562500463
438,-10.471526150129307,30.51379974765802
439,-10.292743631011785,30.77161017948148
440,-10.113961111894263,31.026382203524555
441,-9.93517859277674,31.27819453935467
442,-9.756396073659218,31.527122502338337
443,-9.577613554541697,31.773238208183354
444,-9.398831035424175,32.01661076185166
445,-9.220048516306653,32.25730643228181
446,-9.04126599718913,32.495388814205455
447,-8.862483478071608,32.730918978206994
448,-8.683700958954088,32.963955610056274
449,-8.504918439836565,33.194555140239444
450,-8.326135920719043,33.42277186451971
451,-8.14735340160152,33.648658056277704
452,-7.968570882483999,33.87226407130834
453,-7.789788363366477,34.09363844568543
454,-7.611005844248956,34.31282798724831
455,-7.432223325131433,34.52987786121238
456,-7.253440806013912,34.74483167035984
457,-7.07465828689639,34.957731530225274
458,-6.895875767778867,35.1686181396538
459,-6.717093248661346,35.37753084707614
460,-6.538310729543824,35.58450771281537
461,-6.359528210426289,35.78958556771233
